TimeSeries ID,cluster/node_count.bigtable_cluster.ALIGN_MEAN.REDUCE_SUM.metric.type="bigtable.googleapis.com/cluster/node_count" resource.type="bigtable_cluster" resource.label."project_id"="awesome-pilot-400117" resource.label."cluster"="text-to-speech-c1" resource.label."instance"="text-to-speech".60s.project_id:awesome-pilot-400117
project_id,awesome-pilot-400117
Thu Oct 19 2023 19:42:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:43:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:44:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:45:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:46:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:47:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:48:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:49:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:50:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:51:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:52:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:53:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:54:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:55:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:56:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:57:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:58:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 19:59:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:00:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:01:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:02:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:03:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:04:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:05:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:06:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:07:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:08:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:09:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:10:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:11:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:12:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:13:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:14:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:15:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:16:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:17:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:18:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:19:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:20:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:21:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:22:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:23:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:24:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:25:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:26:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:27:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:28:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:29:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:30:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:31:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:32:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:33:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:34:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:35:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:36:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:37:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:38:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:39:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:40:00 GMT-0400 (Eastern Daylight Time),1
Thu Oct 19 2023 20:41:00 GMT-0400 (Eastern Daylight Time),1
